ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2019-08-01
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
201012;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;185846;185846;0;0;0;0;0;142970;0;0;142970;;0;6922122;6275764;535228;85292;0;0;0;0;0;0;25837;0;0;0;0;0;3552;0;1022215;8276705;1730015;2105025;757458;0;757458;0;1671533;0;0;1671533;0;0;0;0;1341;1341;0;25774;0;963344;1241234;-277890;1022215;8276705;1200336
201012;AC;9465;ASSIS BRASIL;00000000;BCO DO BRASIL S.A.;1;1;151020;151020;0;0;0;0;0;709295;0;0;709295;;0;6662792;4794065;473719;1124354;255127;0;0;0;0;0;15528;0;0;0;0;0;3552;0;1830537;9357196;775595;1073005;728864;0;728864;0;4248737;0;0;4248737;0;0;0;0;638;638;0;17184;0;682635;1030221;-347586;1830537;9357196;1200054
201012;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;289368;289368;0;0;0;0;0;1022516;0;0;1022516;;0;10155889;8723083;1329118;0;0;0;0;0;0;0;103688;0;0;0;0;0;4262;0;2576637;14048673;888099;969258;1307385;0;1307385;0;6920038;0;0;6920038;0;0;0;0;1512;1513;0;24833;0;1360912;1761989;-401077;2576637;14048673;1200302
201012;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;838385;838385;0;0;0;0;0;2174416;0;0;2174416;;0;3774785;3772992;0;0;0;0;0;0;0;0;1792;0;0;0;0;0;0;0;29491058;36278643;3452479;2748138;95420;0;95420;0;1645;0;0;1645;0;0;0;0;1646;1646;0;55522;0;432735;888428;-455693;29491058;36278643;1200302
201012;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;250492;250492;0;0;0;0;0;1189581;0;0;1177238;;12343;16750986;10940956;3117694;177130;2452858;0;0;0;0;0;62347;0;0;0;0;0;4262;123559;3456773;21775653;3378219;2981199;1818278;0;1818278;0;8470563;0;0;8470563;0;0;0;0;3073;3073;0;31086;0;1636461;2296474;-660013;3456773;21775653;1200708
201012;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;700639;700639;0;0;0;0;0;1332245;0;0;1332245;;0;1206637;1154661;2716;7773;0;0;0;0;0;0;41487;0;0;0;0;0;11378;0;35531065;38781964;1637322;1480370;136454;0;136454;0;0;0;0;0;0;0;0;0;2179;2179;0;11159;0;-16585;293046;-309631;35531065;38781964;1200708
201012;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;528841;528841;0;0;0;0;0;646957;646;0;633648;;12663;20261180;17916772;1805238;0;468927;0;0;0;0;0;70243;0;0;0;0;0;6393;0;4532356;25975727;5024385;4391814;1767223;0;1767223;0;8135028;0;0;8135028;0;0;0;0;3617;3617;0;46705;0;2074598;3317255;-1242657;4532356;25975727;1200609
201012;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;843133;843133;0;0;0;0;0;-7423339;35593;0;24455;;-7483386;12137674;9503805;667863;0;0;0;0;0;3181245;0;0;0;-1215239;0;0;0;0;0;20433595;25991063;2094998;1726197;536114;0;536114;0;8081;0;0;8081;0;0;0;0;5383;5383;0;159106;0;1027590;1887165;-859575;20433595;25991063;1200609
201012;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;579906;579906;0;0;0;0;0;2604978;0;0;2604978;;0;3800992;3798164;1829;0;0;0;0;0;0;0;999;0;0;0;0;0;397;0;27901648;34887920;1770277;4850934;4065;0;4065;0;184;0;0;184;0;0;0;0;3543;3543;0;48896;0;308374;772278;-463905;27901648;34887920;1200609
201012;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;653334;653334;0;0;0;0;0;967483;3691;0;939411;;24382;31354010;22606397;2030156;1671846;4903787;0;0;0;0;0;141824;0;0;0;0;0;8924;0;5721697;38705448;4972420;3962494;11979366;0;11979366;0;8749890;0;0;8749890;0;0;0;1;17523;17523;0;50592;0;3251466;4455244;-1203778;5721697;38705448;1200500
201012;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;676788;676788;0;0;0;0;0;-2123162;10925;0;20979;;-2155065;9384384;6973000;492232;0;0;0;0;0;3520406;0;0;0;-1601254;0;0;0;0;0;15171494;23109503;2681276;4553020;60306;0;60306;0;3583;0;0;3583;0;0;0;0;8818;8819;0;224139;0;406868;1392859;-985991;15171494;23109503;1200500
201012;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;678343;678343;0;0;0;0;0;3360810;0;0;3303694;;57116;3049796;2919132;46048;3892;80331;0;0;0;0;0;393;0;0;0;0;0;0;0;36937509;44026457;2535403;4131522;151553;0;151553;0;0;0;0;0;0;0;0;0;3928;3928;0;50526;0;216016;649467;-433450;36937509;44026457;1200500
201012;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;198139;198139;0;0;0;0;0;635112;0;0;635112;;0;17484506;9419886;1280539;3533326;3204579;0;0;0;0;0;46176;0;0;0;0;0;4662;145000;2322337;20789755;2608324;3042628;533924;0;533924;0;10622769;0;0;10622769;0;0;0;0;4059;4059;0;24195;0;1631520;2152886;-521366;2322337;20789755;1200385
