"mun";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Angra dos Reis (RJ)";-0.592947247920846;-0.182150636400118;0.392668202846135;-0.217980406377364;0.767338686463235;-0.363387375428909;0.786939453721868;1.07691581508616;0.390777610588499;-0.448314840781864;0.644857918826779;0.410328961675105;0.992845225033553;0.44160672901979;0.745597126975938;0.733312264961015;-0.151312419651433;-1.46705768262866
"Aperibé (RJ)";0.0894777484732859;-0.707589443773001;0.715268978266215;0.400750405226622;-0.849344347611982;0.668628389031275;0.170109824517451;-0.742012356094685;-0.865771929109522;0.0483577929035353;1.02683822641133;-0.459994138592556;-0.432961236271504;1.06444917503921;-1.27383058515295;-1.15098288914249;-0.726142125200618;-0.439710030921503
"Araruama (RJ)";-0.347372479453139;-0.446303691551716;0.587856208933191;0.921544381318382;0.101645672432262;0.960360760857284;0.704269762532619;-0.0958179013043233;0.0049261047240632;-0.291767625236473;-0.246031735303487;0.247143380374918;-0.36897890546481;-0.791274805606449;-0.00350304680140026;0.112615570712639;-0.0923040636007058;0.546903303434476
"Areal (RJ)";-0.522052950311781;-0.117141720418331;0.30017933309578;0.112518050226819;0.133345339767073;0.334004673177029;0.166184695550339;-0.57196283324234;-0.421027965398215;0.2314264051664;-1.40983975844672;-0.677574913659469;-0.142253996026486;0.0834279698503444;-0.0946131251359716;-0.31213721676958;-0.454545253311634;-0.011536635119231
"Armação dos Búzios (RJ)";-0.582827012842493;1.9634501622234;-1.87148981138869;0.0967019841057785;0.957536690472082;1.28654759165277;1.02772224425278;0.778091229683079;0.203027846888456;-0.665192716803945;0.193874945306218;0.519119349208563;0.630864861176364;-1.34791452875294;0.913924662423997;0.85540936085446;-0.511212731317603;-0.278934296451682
"Arraial do Cabo (RJ)";-0.325044631620643;-0.269650619176018;0.394170966180014;1.3702658676912;0.957536690472082;-0.365182732853244;1.02772224425278;0.0686218049998151;-0.394444195256727;-0.17161105186896;-0.193011070541353;0.655107333625385;-0.324675199938016;-0.592052828278678;1.29961478938991;0.50517834141255;-0.639978820939939;-0.420064058940657
"Barra do Piraí (RJ)";-0.354467566412489;0.129760620015074;-0.0167187064008506;0.913549543800358;0.925837023137276;0.0267556135734371;0.832441836109447;0.194607629155073;0.325491648890952;0.0747424945169953;-0.0423636160355513;0.655107333625385;-0.27728907456655;1.24916559699232;0.799425565985798;0.116641386006509;0.216718512252917;-1.64742839897538
"Barra Mansa (RJ)";-0.547114033889757;0.304856307364712;-0.135988304807884;1.28061966449136;1.11603502714612;0.11795905551793;0.967947925770254;0.308088890166562;0.167819474478915;-0.429331465628715;0.479238889350662;0.546316946091927;-0.184249257501856;1.18285281887185;0.936529304831341;0.0527552621893328;1.05658435960246;-1.06428513723907
"Belford Roxo (RJ)";-0.620273363560819;0.0163431175903166;0.19277509998233;1.34477021257602;0.799038353798042;-1.33572424533928;1.02772224425278;-0.640471542596418;-0.799123070979324;-0.713878371925308;-0.329069141674081;-0.677574913659469;-0.419099539792477;-0.114878024201115;-0.154002995575693;-1.03174970914318;-0.441080004275462;1.06804245142617
"Bom Jardim (RJ)";0.350147279409135;0.329349911777518;-0.465569894126968;-0.412738531131696;-0.817644680277172;0.840755522159222;-1.57949111901099;-0.296517706749664;0.480132183633742;-0.262599235054655;-0.507981660480015;-1.33031723886021;-0.29079146616553;2.09533712573649;-0.67808123656852;-0.211294084920682;0.212339269854882;-0.587498315307328
